"CustomerID","monetary","frequency","cycle","recency"
12347,4310.0,7,60.833333333333336,3.0
12348,1437.24,4,94.33333333333333,76.0
12349,1457.55,1,,19.0
12350,294.4,1,,311.0
12352,1265.41,8,37.142857142857146,37.0
12353,89.0,1,,205.0
12354,1079.4,1,,233.0
12355,459.4,1,,215.0
12356,2487.43,3,151.5,23.0
12357,6207.67,1,,34.0
12358,928.0600000000001,2,149.0,2.0
12359,6245.53,6,64.8,8.0
12360,2302.06,3,74.0,53.0
12361,174.9,1,,288.0
12362,4665.58,12,26.545454545454547,4.0
12363,552.0,2,133.0,110.0
12364,1208.1,4,35.0,8.0
12365,320.69,1,,292.0
12367,150.9,1,,5.0
12370,3425.69,4,103.0,52.0
12371,1527.96,1,,60.0
12372,1196.04,3,112.5,72.0
12373,324.6,1,,312.0
12374,622.9300000000001,1,,26.0
12375,375.42,3,48.0,3.0
12377,1548.12,2,39.0,316.0
12378,4008.62,1,,130.0
12379,775.29,3,44.5,82.0
12380,2423.56,5,41.0,22.0
12381,1433.46,4,38.333333333333336,5.0
12383,1617.31,6,33.6,185.0
12384,406.16,3,46.5,29.0
12386,401.9,2,29.0,338.0
12388,2780.6600000000003,6,62.2,16.0
12390,504.84000000000003,1,,80.0
12391,460.89,1,,22.0
12393,1582.6000000000001,4,86.66666666666667,73.0
12394,1080.48,2,154.0,64.0
12395,2662.28,14,27.384615384615383,16.0
12397,2214.9,2,100.0,36.0
12398,1435.66,1,,46.0
12399,1033.65,4,47.333333333333336,120.0
12401,69.3,1,,304.0
12402,195.6,1,,324.0
12403,391.7,1,,50.0
12405,1390.39,1,,149.0
12406,3280.75,3,80.5,23.0
12407,1507.12,5,53.75,50.0
12408,2587.57,8,32.57142857142857,33.0
12409,11056.93,7,17.333333333333332,79.0
12410,521.08,3,3.5,302.0
12412,1142.88,3,47.5,75.0
12413,676.15,4,90.33333333333333,67.0
12414,442.41,3,46.5,218.0
12415,123638.18,22,14.904761904761905,25.0
12417,3155.8,11,35.4,4.0
12418,668.58,1,,113.0
12420,600.39,1,,64.0
12421,639.04,4,101.33333333333333,16.0
12422,683.5600000000001,3,114.5,96.0
12423,1624.11,8,50.42857142857143,1.0
12424,1760.96,2,0.0,163.0
12425,777.2,1,,79.0
12426,510.73,1,,195.0
