CustomerID,monetary,frequency,cycle,recency,R,F,M,segment
12347,4310.0,7,60.833333333333336,3.0,5,4,5,High Value Customers
12348,1437.24,4,94.33333333333331,76.0,2,3,4,Regular Customers
12349,1457.55,1,,19.0,4,1,4,Potential High Value Customers
12350,294.4,1,,311.0,1,1,2,Regular Customers
12352,1265.41,8,37.142857142857146,37.0,3,4,4,Regular Customers
12353,89.0,1,,205.0,1,1,1,Regular Customers
12354,1079.4,1,,233.0,1,1,4,Regular Customers
12355,459.4,1,,215.0,1,1,2,Regular Customers
12356,2487.43,3,151.5,23.0,4,2,5,Potential High Value Customers
12357,6207.67,1,,34.0,3,1,5,Regular Customers
12358,928.06,2,149.0,2.0,5,2,4,Potential High Value Customers
12359,6245.53,6,64.8,8.0,5,3,5,Potential High Value Customers
12360,2302.06,3,74.0,53.0,3,2,5,Regular Customers
12361,174.9,1,,288.0,1,1,1,Regular Customers
12362,4665.58,12,26.545454545454547,4.0,5,4,5,High Value Customers
12363,552.0,2,133.0,110.0,2,2,3,Regular Customers
12364,1208.1,4,35.0,8.0,5,3,4,Potential High Value Customers
12365,320.69,1,,292.0,1,1,2,Regular Customers
12367,150.9,1,,5.0,5,1,1,Regular Customers
12370,3425.69,4,103.0,52.0,3,3,5,Regular Customers
12371,1527.96,1,,60.0,3,1,4,Regular Customers
12372,1196.04,3,112.5,72.0,2,2,4,Regular Customers
12373,324.6,1,,312.0,1,1,2,Regular Customers
12374,622.9300000000001,1,,26.0,4,1,3,Regular Customers
12375,375.42,3,48.0,3.0,5,2,2,Regular Customers
12377,1548.12,2,39.0,316.0,1,2,4,Regular Customers
12378,4008.62,1,,130.0,2,1,5,Regular Customers
12379,775.29,3,44.5,82.0,2,2,3,Regular Customers
12380,2423.56,5,41.0,22.0,4,3,5,Potential High Value Customers
12381,1433.46,4,38.333333333333336,5.0,5,3,4,Potential High Value Customers
12383,1617.31,6,33.6,185.0,1,3,4,Regular Customers
12384,406.16,3,46.5,29.0,4,2,2,Regular Customers
12386,401.9,2,29.0,338.0,1,2,2,Regular Customers
12388,2780.6600000000003,6,62.2,16.0,4,3,5,Potential High Value Customers
12390,504.84,1,,80.0,2,1,3,Regular Customers
12391,460.89,1,,22.0,4,1,2,Regular Customers
